K=17.262152234697396 N=18576 kv=16.17103903828854 o=0.23058474170166263 tau=1.3395466116374355 tauv=1.3461083866822223 v=0.17400753254307358
K=17.262152234697396 N=18576 kv=16.164993727986896 o=0.2558436204390575 tau=1.309899332503702 tauv=1.3235010326161694 v=0.17103136435133318
K=17.262152234697396 N=18576 kv=16.16353035255349 o=0.2913137580637817 tau=1.3151714426216783 tauv=1.31685823700002 v=0.18653543170756068
K=17.262152234697396 N=18576 kv=16.160206330206258 o=0.21398493923548362 tau=1.2997484478265726 tauv=1.3116766766613719 v=0.17405240358615565
K=17.262152234697396 N=18576 kv=16.138134418104634 o=0.22516992684939596 tau=1.2920672491160812 tauv=1.2873929999412972 v=0.18532796332519166
K=17.262152234697396 N=18576 kv=16.181425851230134 o=0.24359237464380706 tau=1.3203691917122273 tauv=1.329613715428122 v=0.1758487139765219
K=17.262152234697396 N=18576 kv=16.13781699157596 o=0.2320469006768764 tau=1.1888258603082549 tauv=1.1871015967015361 v=0.20711208955870292
K=17.262152234697396 N=18576 kv=16.164993727986896 o=0.2471570146243129 tau=1.3177689597940152 tauv=1.3235010326161694 v=0.1851794178875303
K=17.262152234697396 N=18576 kv=16.057687760162448 o=0.20774218322678772 tau=1.1336474239646759 tauv=1.1479299219104364 v=0.174490464450266
K=17.262152234697396 N=18576 kv=16.18062766220374 o=0.20738294413466637 tau=1.3205230857985686 tauv=1.3263447259900112 v=0.21188272166579378
K=17.262152234697396 N=18576 kv=16.101163762711206 o=0.25239556495008875 tau=1.1627596929742572 tauv=1.160213334012737 v=0.18690842648277506
K=17.262152234697396 N=18576 kv=16.13781699157596 o=0.23274235743860444 tau=1.1957490005396765 tauv=1.1871015967015361 v=0.2184208951667036
K=17.262152234697396 N=18576 kv=15.960661472641087 o=0.25324624674684265 tau=1.339474599843747 tauv=1.3434673432065851 v=0.13020725230053545
K=17.262152234697396 N=18576 kv=16.14461545930136 o=0.21491248967361645 tau=1.2415638745160347 tauv=1.2402666516634668 v=0.17540574293591155
K=17.262152234697396 N=18576 kv=16.15865050748425 o=0.2306532147888699 tau=1.246622874708988 tauv=1.2534281376005478 v=0.2149146175932525
K=17.262152234697396 N=18576 kv=16.14524965913577 o=0.20719507492876146 tau=1.2280281893445684 tauv=1.2396303805277271 v=0.1933801486695654
K=17.262152234697396 N=18576 kv=16.1403569271546 o=0.23677155917455833 tau=1.211427352435475 tauv=1.2175640138769754 v=0.18312274183794638
K=17.262152234697396 N=18576 kv=16.176532808076335 o=0.25204872026484804 tau=1.329657859753895 tauv=1.3186749947604863 v=0.2011985320206518
K=17.262152234697396 N=18576 kv=16.176532808076335 o=0.2788933507937785 tau=1.3304423261341753 tauv=1.3186749947604863 v=0.1902102975855031
K=17.262152234697396 N=18576 kv=16.160206330206258 o=0.21488349627629297 tau=1.316528032455356 tauv=1.3116766766613719 v=0.1890479265953125
K=17.262152234697396 N=18576 kv=16.181425851230134 o=0.22601001887851338 tau=1.3282359243857815 tauv=1.329613715428122 v=0.19726906705457017
K=17.262152234697396 N=18576 kv=16.137852412083088 o=0.24722134887075853 tau=1.2021215622946377 tauv=1.1942744450522105 v=0.18127321102451363
K=17.262152234697396 N=18576 kv=16.16954624811674 o=0.23227874076481575 tau=1.3018017037347211 tauv=1.2806989492257903 v=0.1880970708854261
K=17.262152234697396 N=18576 kv=16.16353035255349 o=0.25531090772041065 tau=1.3404040744876715 tauv=1.31685823700002 v=0.19301799777369003
K=17.262152234697396 N=18576 kv=16.136089447880373 o=0.2727900873164567 tau=1.196558534338971 tauv=1.1996432287003278 v=0.16222349309021455
K=17.262152234697396 N=18576 kv=16.17483112240743 o=0.22108795310878782 tau=1.3015450021260673 tauv=1.3004704187980747 v=0.20179449665001456
K=17.262152234697396 N=18576 kv=15.960661472641087 o=0.25986662804923527 tau=1.350030515503019 tauv=1.3434673432065851 v=0.11373243226529337
K=17.262152234697396 N=18576 kv=16.14077289632573 o=0.2474761181935943 tau=1.1814428411382427 tauv=1.194901801469619 v=0.20936449398600548
K=17.262152234697396 N=18576 kv=16.15967098545564 o=0.24271411906916304 tau=1.298290334755486 tauv=1.3129246183881031 v=0.17087961153132766
K=17.262152234697396 N=18576 kv=16.126591766168193 o=0.23131996214175307 tau=1.1888381803013255 tauv=1.177739886042869 v=0.19024890233262812
K=17.262152234697396 N=18576 kv=16.175270700273206 o=0.23755655801684136 tau=1.305444565534931 tauv=1.3096666886009038 v=0.17444062702568927
K=17.262152234697396 N=18576 kv=16.161576440346586 o=0.2765063406110724 tau=1.2801412330154125 tauv=1.2744942808196382 v=0.2048524650098628
K=17.262152234697396 N=18576 kv=16.132476005139587 o=0.2574823467784139 tau=1.2211538153438126 tauv=1.1968138316862436 v=0.1962863513505006
K=17.262152234697396 N=18576 kv=16.164993727986896 o=0.24731733521792199 tau=1.329416980454687 tauv=1.3235010326161694 v=0.1807165797975755
K=17.262152234697396 N=18576 kv=16.123658353508922 o=0.2805196367622145 tau=1.1796649022088204 tauv=1.1786554449631856 v=0.2054487817864362
K=17.262152234697396 N=18576 kv=16.1411127413586 o=0.2119790647129892 tau=1.2860573921131073 tauv=1.27710030728677 v=0.1535595605022147
