K=17.59056241725812 N=18835 kv=16.455930260815954 o=0.28291721932544467 tau=1.3171092741317816 tauv=1.3069439722551528 v=0.1604116985178122
K=17.59056241725812 N=18835 kv=16.464364478179697 o=0.22881579541947755 tau=1.3336975229332633 tauv=1.3206184555197036 v=0.18473573982535174
K=17.59056241725812 N=18835 kv=16.447988909294963 o=0.207704584092804 tau=1.3064366358943007 tauv=1.2887473279569581 v=0.19155050218097705
K=17.59056241725812 N=18835 kv=16.43065651534339 o=0.2280444344199894 tau=1.2584487657594055 tauv=1.266414845724 v=0.17234541576982038
K=17.59056241725812 N=18835 kv=16.475317505863416 o=0.24247328061838042 tau=1.3416933963695878 tauv=1.3336250886969765 v=0.21176731861774914
K=17.59056241725812 N=18835 kv=16.365411954067625 o=0.20136362346736955 tau=1.3147194601916845 tauv=1.3064162264821635 v=0.17251451368356505
K=17.59056241725812 N=18835 kv=16.462140120932172 o=0.21899062751970533 tau=1.288557936417766 tauv=1.2933399466028381 v=0.20834254265225058
K=17.59056241725812 N=18835 kv=16.42330709066846 o=0.26851942090979325 tau=1.3281319125793765 tauv=1.3257659781487632 v=0.16044572985516092
K=17.59056241725812 N=18835 kv=16.47100206176966 o=0.23814357250198165 tau=1.303436851191516 tauv=1.3182744398389505 v=0.18726297652453935
K=17.59056241725812 N=18835 kv=16.470616994760146 o=0.2050492868689686 tau=1.31966046485951 tauv=1.3253951191276863 v=0.19858205926946948
K=17.59056241725812 N=18835 kv=16.47323318647641 o=0.22184887569849582 tau=1.3335525904997483 tauv=1.3272941802091613 v=0.18933321727000016
K=17.59056241725812 N=18835 kv=16.459248955843325 o=0.23130614565356655 tau=1.2863144900169967 tauv=1.2863281367420882 v=0.20242654197049176
K=17.59056241725812 N=18835 kv=16.456474241891108 o=0.24085444028661657 tau=1.3176364851671185 tauv=1.302563088836295 v=0.1897772227592227
K=17.59056241725812 N=18835 kv=16.4424215907521 o=0.24232041422065928 tau=1.2873690630929906 tauv=1.2980491039354856 v=0.1831485185598585
K=17.59056241725812 N=18835 kv=16.452666652794484 o=0.2080807480009917 tau=1.3054346666222878 tauv=1.2973022006016295 v=0.19641674112390195
K=17.59056241725812 N=18835 kv=16.32840886842484 o=0.21605269802085525 tau=1.2871632365093388 tauv=1.3025968343404553 v=0.16103789717594835
K=17.59056241725812 N=18835 kv=16.472926057857766 o=0.2498023637290765 tau=1.331190780847492 tauv=1.3306814986175204 v=0.17118616634178474
K=17.59056241725812 N=18835 kv=16.4744321687972 o=0.2256296498740796 tau=1.3340000885892989 tauv=1.339571336122525 v=0.2037367180419346
K=17.59056241725812 N=18835 kv=16.452666652794484 o=0.19935479571983528 tau=1.2833143591838099 tauv=1.2973022006016295 v=0.17552160343975265
